,Unnamed: 0.1,Unnamed: 0,Timestamp,Username,VideoID,Comment,Likes,Sentiment,Sentiment_category
48,48,51,2023-08-16,@devamsaxena8529,4MVHi96NZls,idkhdswkbmhkhsnaat,0.0,0.0,Neutral
49,49,52,2023-08-15,@rosaceliagv,4MVHi96NZls,another,0.0,0.0,Neutral
50,50,53,2023-07-31,@mediya1516,4MVHi96NZls,cute sweet love muchand styles cool classy,2.0,0.36000000000000004,Positive
51,51,55,2023-07-13,@bungamatahari2828,4MVHi96NZls,beautiful hailey,0.0,0.85,Strongly Positive
52,52,56,2023-07-06,@alfinahrz,4MVHi96NZls,always love street styles love hails,1.0,0.5,Strongly Positive
53,53,57,2023-07-03,@kawttarr,4MVHi96NZls,really love,0.0,0.5,Strongly Positive
54,54,58,2023-06-30,@mattedmonds238,4MVHi96NZls,like tuesday one rest jumble messy coordination looks really odd getting away cos celebrity,0.0,-0.18333333333333335,Negative
55,55,59,2023-06-28,@suzyl-h4437,4MVHi96NZls,beautiful look forever hailey,0.0,0.85,Strongly Positive
56,56,60,2023-06-25,@sujashrestha5715,4MVHi96NZls,better style selena,4.0,0.5,Strongly Positive
57,57,61,2023-05-29,@LovelyiDawn,4MVHi96NZls,sound pants,4.0,0.4,Positive
58,58,62,2023-05-21,@libyatech3303,4MVHi96NZls,hate,1.0,-0.8,Strongly Negative
59,59,63,2023-06-09,@LilianaGPino,4MVHi96NZls,hate someone even know buddy thats healthy,0.0,-0.15000000000000002,Negative
60,60,64,2023-05-17,@lisayerry3694,4MVHi96NZls,love hailey icon,2.0,0.5,Strongly Positive
61,61,65,2023-05-16,@rameenkhankhan3232,4MVHi96NZls,earth,1.0,0.0,Neutral
62,62,66,2023-05-12,@Niusha-of4ps,4MVHi96NZls,love hailey,1.0,0.5,Strongly Positive
63,63,67,2023-05-12,@Niusha-of4ps,4MVHi96NZls,cute,0.0,0.5,Strongly Positive
