,Unnamed: 0.1,Unnamed: 0,createTimeISO,Likes,text,uniqueId,videoWebUrl,Sentiment,Sentiment_category
45,45,52,2024-08-02,2,got mine today already shipped wait,nollie813,https://www.tiktok.com/@rhode/video/7398218065583885599,0.0,Neutral
46,46,53,2024-08-01,1,obsessed,soniaaapolackova,https://www.tiktok.com/@rhode/video/7398218065583885599,-0.5,Negative
47,47,54,2024-08-01,2,secured bag,kaitlyn.elston7,https://www.tiktok.com/@rhode/video/7398218065583885599,0.0,Neutral
48,48,55,2024-08-01,1,happy got,idk.ky,https://www.tiktok.com/@rhode/video/7398218065583885599,0.8,Strongly Positive
49,49,56,2024-08-01,2,got mine excited got two,crystalc.bay,https://www.tiktok.com/@rhode/video/7398218065583885599,0.375,Positive
50,50,57,2024-08-01,2,even name cute,yodeebs,https://www.tiktok.com/@rhode/video/7398218065583885599,0.5,Strongly Positive
51,51,58,2024-08-01,0,love rhode,lovelivelaugh266,https://www.tiktok.com/@rhode/video/7398218065583885599,0.5,Strongly Positive
52,52,59,2024-08-01,0,yay happy able get,thereandbackagn,https://www.tiktok.com/@rhode/video/7398218065583885599,0.65,Strongly Positive
53,53,60,2024-08-01,145,happy able snag website,bellaheree1,https://www.tiktok.com/@rhode/video/7398207245034523935,0.65,Strongly Positive
54,54,61,2024-08-01,85,right went checkout sold old bc bet people reselling,kenabananaaa,https://www.tiktok.com/@rhode/video/7398207245034523935,0.19285714285714284,Positive
55,55,62,2024-08-01,47,need jelly bean,_pauli30,https://www.tiktok.com/@rhode/video/7398207245034523935,0.0,Neutral
56,56,63,2024-08-01,45,sould congrats rhode,debbyflandess,https://www.tiktok.com/@rhode/video/7398207245034523935,0.0,Neutral
57,57,64,2024-08-01,40,guys ever want something set alarm exactly minute usually like minute window itll deff unless something makes,ghoulishgourl,https://www.tiktok.com/@rhode/video/7398207245034523935,0.0,Neutral
58,58,65,2024-08-01,14,able secure one set alarm everything,jenniferevangelina,https://www.tiktok.com/@rhode/video/7398207245034523935,0.45,Positive
59,59,66,2024-08-02,1,gorgeous,kelligerardi,https://www.tiktok.com/@rhode/video/7398207245034523935,0.7,Strongly Positive
60,60,67,2024-08-02,1,whats liner,laurennannn,https://www.tiktok.com/@rhode/video/7398207245034523935,0.0,Neutral
61,61,68,2024-08-01,21,plz restock put limit,ccuffedjeans,https://www.tiktok.com/@rhode/video/7398207245034523935,0.0,Neutral
62,62,69,2024-08-01,5,birkin,ufoghfosojqbw,https://www.tiktok.com/@rhode/video/7398207245034523935,0.0,Neutral
63,63,70,2024-08-02,1,please restock work thanks bestie,hellofals,https://www.tiktok.com/@rhode/video/7398207245034523935,0.2,Positive
64,64,71,2024-08-02,1,love,glow_with_vee,https://www.tiktok.com/@rhode/video/7398207245034523935,0.5,Strongly Positive
65,65,72,2024-08-02,3,sprinkle needs permanent shade,rachel.blancarte,https://www.tiktok.com/@rhode/video/7398207245034523935,0.0,Neutral
66,66,74,2024-08-01,4,happy got one sold,theetaylorsimone,https://www.tiktok.com/@rhode/video/7398207245034523935,0.8,Strongly Positive
67,67,75,2024-08-02,1,got sprinkle blush,cinthiayadira,https://www.tiktok.com/@rhode/video/7398207245034523935,0.0,Neutral
68,68,76,2024-08-01,11,yes bought sprinkle,cashmoney2900,https://www.tiktok.com/@rhode/video/7398207245034523935,0.0,Neutral
69,69,77,2024-08-01,5,secured,niquee_ramirez,https://www.tiktok.com/@rhode/video/7398207245034523935,0.0,Neutral
70,70,78,2024-08-02,0,release rhode lip liner also pls,ronahtravels,https://www.tiktok.com/@rhode/video/7398207245034523935,0.0,Neutral
71,71,79,2024-08-01,0,live laugh love rhode,strawvirisita,https://www.tiktok.com/@rhode/video/7398207245034523935,0.3121212121212121,Positive
72,72,80,2024-08-02,1,fighting life getting one happy,usermz077,https://www.tiktok.com/@rhode/video/7398207245034523935,0.8,Strongly Positive
73,73,81,2024-08-01,1,sold fast,nycnicole,https://www.tiktok.com/@rhode/video/7398207245034523935,0.2,Positive
74,74,82,2024-08-01,1,need ready check sold need complete rhode collection rhode skin,la.bxarbie,https://www.tiktok.com/@rhode/video/7398207245034523935,0.15000000000000002,Positive
75,75,83,2024-08-01,3,going pair sprinkle jelly bean lip tint,crystalc.bay,https://www.tiktok.com/@rhode/video/7398207245034523935,0.0,Neutral
76,76,84,2024-08-01,1,rhode skin brush recommendations pair blu,ryansophiesmith,https://www.tiktok.com/@rhode/video/7398207245034523935,0.0,Neutral
77,77,85,2024-08-01,1,happy,gleamhangers,https://www.tiktok.com/@rhode/video/7398207245034523935,0.8,Strongly Positive
78,78,86,2024-08-01,1,beautiful girlie,kristinaabeee,https://www.tiktok.com/@rhode/video/7398207245034523935,0.85,Strongly Positive
79,79,87,2024-08-01,3,lip liner gorgeous around,christinahfiedler,https://www.tiktok.com/@rhode/video/7398207245034523935,0.7,Strongly Positive
80,80,88,2024-08-01,3,cute,user3618012093324,https://www.tiktok.com/@rhode/video/7398207245034523935,0.5,Strongly Positive
81,81,89,2024-08-01,1,would cute customizable insta filter,hcombs,https://www.tiktok.com/@rhode/video/7398207245034523935,0.5,Strongly Positive
82,82,90,2024-08-01,1,early,my_name_is_anton1,https://www.tiktok.com/@rhode/video/7398218317787368735,0.1,Positive
83,83,92,2024-08-01,0,excited receive mine,pooperscooper280,https://www.tiktok.com/@rhode/video/7398218317787368735,0.375,Positive
84,84,93,2024-08-01,0,need,mia.ria7,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral
85,85,94,2024-08-02,0,ship australia,ad.tuason,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral
86,86,96,2024-08-02,1,bring backk,emeraldsimply,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral
87,87,97,2024-08-01,0,nedd,jengiron07,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral
88,88,98,2024-08-02,0,day asking ship australia,giselleelhassan,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral
89,89,99,2024-08-02,0,please restock missed,tanyaaam,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral
90,90,100,2024-08-03,0,love guys show swatches specific model representation,aachnge,https://www.tiktok.com/@rhode/video/7398218317787368735,0.25,Positive
91,91,101,2024-08-01,1,mad missed,fashion_heard,https://www.tiktok.com/@rhode/video/7398218317787368735,-0.625,Strongly Negative
92,92,102,2024-08-02,1,petition iphone plus cases,personalitynumberone,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral
93,93,103,2024-08-01,1,got mine,elizabethayalaaaa,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral
94,94,104,2024-08-03,1,restock plz,madisonunger02,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral
95,95,105,2024-08-02,1,wait sparkle,stephmirandaaa,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral
96,96,106,2024-08-02,0,bring back pls sold quickk,whoslinnyy,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral
97,97,108,2024-08-02,0,day asking phone case compatibile iphone,maxmara058,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral
98,98,110,2024-08-04,0,pls bring back,_zkhanxo,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral
99,99,115,2024-08-01,2,rhode,cinn4mon_giirl,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral
