timestamp,total_likes,total_comments,total_posts,avg_engagement_rate
2024-01-31 00:00:00+00:00,2145254,13374,39,55349.44
2024-02-29 00:00:00+00:00,2578858,15416,31,83686.26
2024-03-31 00:00:00+00:00,1404889,7156,29,48691.21
2024-04-30 00:00:00+00:00,1906802,8559,29,66046.93
2024-05-31 00:00:00+00:00,1675177,8320,30,56116.57
2024-06-30 00:00:00+00:00,3511585,22695,42,84149.52
2024-07-31 00:00:00+00:00,1485954,10065,31,48258.68
2024-08-31 00:00:00+00:00,76959,797,1,77756.0
